data,normed data
5.13,0.932422987
4.18,0.797661049
2.1,0.415355533
1.72,0.352068237
2.98,0.576677791
1.48,0.314845358
6.54,0.997642396
4.8,0.892164048
4.86,0.900071008
3.81,0.732749018
3.03,0.586185115
4.89,0.903930376
4,0.766685674
7.81,0.896467243
5.94,0.992859964
3.71,0.714472873
3.45,0.66597914
3.06,0.59189453
2.72,0.527568788
3.39,0.654644022
8.02,0.867360434
8.27,0.82922361
7.87,0.888446938
6.63,0.99530934
4.14,0.790889582
7.4,0.944230092
7.93,0.880185843
8.9,0.720425251
8.14,0.849493893
6.6,0.996174832
7.33,0.951058385
5.3,0.949876794
4.75,0.885387851
4.24,0.807688116
4.56,0.858172594
5.14,0.933514392
5.49,0.966505623
5.98,0.994275674
9,0.701988475
9.19,0.666435372
9.39,0.628532522
9.28,0.649421132
10.03,0.507502639
10.16,0.483533453
9.99,0.514941446
5.47,0.964903352
6.71,0.992574245
3.65,0.703393681
5.9,0.991289842
7.37,0.947206525
8.2,0.840251525
8.42,0.80476672
5.31,0.950829208
5.61,0.975366953
4.91,0.906467779
4.93,0.908976447
5.43,0.961592972
4.66,0.872777709
4.3,0.817550926
3.63,0.699683724
3.57,0.68850787
1.98,0.394835884
1.95,0.389779868
1.87,0.376448053
0.68,0.208216484
2.19,0.431040225
1.31,0.28988757
2,0.398223308
3.36,0.648962612
5.29,0.948915976
0.29,0.166352846
4.04,0.773677066
3.99,0.764928861
3.19,0.61665214
2.04,0.405037656
1.69,0.347292628
0.56,0.19463171
0.54,0.192428791
0.6,0.19908993
4.88,0.902650987
6.12,0.998005692
9.17,0.670203735
9.73,0.563851231
9.72,0.565747124
10.04,0.505647323
9.67,0.575237541
9.14,0.675846279
8.89,0.722256177
9.87,0.53740947
9.95,0.522406852
10.02,0.50935974
10.13,0.489034662
9.93,0.52614891
10,0.513079174
10.01,0.511218595
9.74,0.561956149
9.52,0.603780911
9.53,0.601876262
10.17,0.481704002
10.22,0.472590137
9.62,0.584742976
10.29,0.459929144
10.8,0.371903924
6.57,0.996952586
6.79,0.989222115
9.66,0.577137568
8.94,0.713077518
10.06,0.501942162
10.31,0.456333916
10.07,0.500092378
8.64,0.767110215
10.75,0.380161746
10.98,0.342932499
11.49,0.267840853
10.97,0.344510001
11.05,0.331998711
11.17,0.313707059
11.5,0.266477728
11.37,0.28453361
11.25,0.301837771
10.11,0.492712566
8.85,0.72955458
9.81,0.548716185
10.45,0.431465212
10.92,0.352454886
11.4,0.280302651
11.68,0.242684645
11.81,0.2263829
12.05,0.198239679
11.97,0.207339655
11.98,0.206186814
12.36,0.165604022
12.24,0.177745666
12.21,0.18087756
12.11,0.191598393
11.77,0.231319697
11.54,0.261068504
10.81,0.370263057
10.49,0.42446138
10.69,0.390186518
11.15,0.316715369
10.77,0.376847989
11.41,0.278900857
11.42,0.277503338
11.61,0.251769619
11.47,0.270580051
9.45,0.617112864
10.18,0.47987674
9.84,0.5430575
11.04,0.333548942
